GE	layer
6.93	End
4.18	End
9.3	End
6.75	End
6.2	End
6.75	End
6.83	End
2.68	End
6.77	End
6.92	End
1.79	End
4.78	End
4.87	End
5.62	End
4.82	End
6.24	End
4.23	End
9.67	End
4.51	End
4.59	End
7.08	End
6.73	End
6.44	End
9.43	End
8.89	End
4.12	End
5.67	End
8.25	End
7.9	End
6.58	End
8.18	End
6.53	End
5.09	End
5.59	End
4.68	End
4.99	End
4.05	End
5.48	End
8.87	End
6.59	End
6.44	End
3.58	End
8.04	End
5.99	End
8.55	End
7.02	End
8.19	End
6.9	End
9.7	End
10.88	End
4.71	End
7.26	End
8.42	End
4.31	End
3.67	End
6	End
5.54	End
8.19	End
4.6	End
3.15	End
9.29	End
4.7	End
6.48	End
5.34	End
7.82	End
8.1	End
8.76	End
6.5	End
4.63	End
6.38	End
8.41	End
7.8	End
4.3	End
4.92	End
6.5	End
7.37	End
5.74	End
5.07	End
8.9	End
9.05	End
6.45	End
6.07	End
8.04	End
4.17	End
4.04	End
5.87	End
4.3	End
8.5	End
8.38	End
6.5	End
4.16	End
7.96	End
8.43	End
4.29	End
5.67	End
2.93	End
6.33	End
2.17	End
7.76	End
5.06	End
8.47	End
6.15	End
5.89	End
7.62	End
8.9	End
10.04	End
5.15	End
2.75	End
6.27	End
7.67	End
5.39	End
4.25	End
6.91	End
3.73	End
4.23	End
8.93	End
3.25	End
4.91	End
7.54	End
6.25	End
4.11	End
9.13	End
7.54	End
8.77	End
6.37	End
2.64	End
6.27	End
5.31	End
8.48	End
7.42	End
5	End
7.32	End
4.06	End
7.05	End
5.8	End
7.8	End
9.55	End
6.71	End
3.8	End
4.13	End
4.29	End
9.69	End
10.34	End
8.32	End
8.07	End
2.68	End
4.45	End
5.63	End
3.68	End
4.41	End
6.71	End
4.05	End
5.52	End
4.85	End
3.79	End
9.66	End
5.61	End
7.29	End
5.2	End
8.43	End
5.04	End
3.79	End
9.68	End
4.43	End
3.33	End
4.74	End
4.85	End
5.62	End
7.47	End
4.7	End
4.78	End
9.05	End
3.96	End
4.42	End
4.72	End
8.85	End
4.24	End
4.77	End
4.47	End
8.47	End
9.51	End
7.23	End
7.65	End
6.83	End
6.96	End
6.26	End
7.71	End
7.8	End
10.05	End
7.7	End
5.13	End
4.99	End
5.27	End
5.25	End
4.08	End
4.05	End
5.51	End
