GE	layer
-0.81	Ect
-5	Ect
-7.99	Ect
-8.08	Ect
-0.65	Ect
-5.5	Ect
-8.5	End
-7.47	End
-7.32	End
-8.21	End
-1.82	End
-8.37	End
-7.71	End
-6.68	End
-7.2	End
-7.69	End
-7.2	End
-7.45	End
-3.15	End
-1.9	End
-6.91	End
-6.54	End
-6.26	End
3.65	End
-6.81	End
-7.47	End
-6.89	End
-6.28	End
-7.03	End
-8.22	End
-6.72	End
-8.03	End
-5.06	End
-6	End
-7.59	End
-7.11	End
-8.76	End
-6.39	End
-6.32	End
-6.83	End
-6.45	End
-1.75	End
-5.88	End
-8.76	End
-9.04	End
-7.93	End
-7.05	End
-7.82	End
-3.93	End
-6.94	End
-8.95	End
-4.54	End
-7.9	End
-5.3	End
-6.88	End
-5.98	End
-4.76	End
-7.49	End
-6.09	End
-8.23	End
4.25	End
1.21	End
-6.4	End
-6.59	End
-6.77	End
-6.7	End
-2.1	End
-4.34	End
-7	End
-8.25	End
-1.27	End
-7.45	End
-6.18	End
-8.14	End
-8.32	End
-8.86	End
-6.68	End
-6.18	End
-8.03	End
-6.46	End
-0.73	End
-4.07	End
-7.6	End
-7.87	End
0.08	End
-7.72	End
-10.12	End
-4.11	End
-4.13	End
-8.8	End
-8.04	End
-5.04	End
-6.5	End
-8.52	End
-8	End
-6.99	End
-6.71	End
-7.04	End
-8.12	End
-1.75	End
-12.3	End
-6.4	End
-0.59	End
-8.18	End
0.17	End
0.35	End
-8.02	End
-7.24	End
-3.27	End
-6.94	End
0.08	End
-6.17	End
-8.02	End
-2.79	End
-7.14	End
-6.72	End
-5.37	End
-5.12	End
-5.05	End
-1.28	End
-4.57	End
-7.58	End
-7.68	End
-4.67	End
-7.96	End
-5.56	End
-7.35	End
2.19	End
-7.67	End
-6.74	End
-5.41	End
-0.69	End
-2.34	End
-7.85	End
-6.41	End
-4.94	End
-6.6	End
-5.83	End
-7.3	End
1.46	End
-6.93	End
3.59	End
-8.56	End
-8.01	End
-6.04	End
-7.36	End
-3.33	End
-6.62	End
0.72	End
-1.07	End
-7.65	End
-7.21	End
-8.11	End
-2.43	End
-6.26	End
-7.41	End
-5.03	End
-5.1	End
-8.4	End
-9.07	End
-7.45	End
-6.77	End
-7.66	End
-4.42	End
-2.02	End
-4.18	End
-5.25	End
1.06	End
-7.32	End
1.18	End
-7.13	End
-2.81	End
-8.85	End
-6.56	End
-7.18	End
-8.05	End
-7.75	End
-3.97	End
-7.12	End
-7.19	End
-7.69	End
-7.68	End
-1.83	End
-8.8	End
-7.48	End
1.74	End
-3.33	End
-8.62	End
-7.29	End
-6.75	End
-9.19	End
-8.06	End
-8.52	End
-7.71	End
-8.17	End
-5.8	End
-8.08	End
-6.38	End
-7.41	End
-7.86	End
-6.66	End
-6.26	End
-8.64	End
-4.61	End
-7.81	End
-1.82	End
-2.3	End
-9.6	End
-7.09	End
-9.29	End
-6.33	End
-6.53	End
-8.19	End
-6.97	End
-6.56	End
-2.44	End
-7.72	End
-7.99	End
-7.68	End
-9.71	End
-0.83	End
-7.25	End
-6.31	End
-4.36	End
-4.49	End
-7.91	End
-8.18	End
-7.82	End
0.59	End
-6.83	End
-3.76	End
-5.24	End
-7.25	End
-4.73	End
-6.45	End
-6.81	End
-6.68	End
-7.4	End
-4.04	End
-7.24	End
-7.56	End
-1.47	End
-2.31	End
-8.58	End
-8.29	End
-7.26	End
-6.76	End
-8.32	End
-4.46	End
-8.97	End
-4.7	End
-5.92	End
-7.66	End
-6.87	End
-7.52	End
-4.02	End
-3.3	End
-7.62	End
-6.16	End
-6.45	End
-6.68	End
-6.4	End
-7.63	End
-1.87	End
-7.4	End
-7.73	End
-6.88	End
-7.47	End
-7.94	End
-5.71	End
-2.52	End
-0.21	End
-7.69	End
-5.65	End
-7.34	End
-7.54	End
-6.86	End
-4.72	End
-7.57	End
-7.11	End
-3.23	End
-3.27	End
-1.9	End
-8.13	End
-6.54	End
-9.53	End
-1.5	End
-8.54	End
-3.09	End
-6.84	End
-7.88	End
-3.61	End
-7.71	End
-5.9	End
-7.54	End
-6.09	End
-6.55	End
-7.36	End
-6.44	End
-1.59	End
-6.91	End
-5.24	End
-7.16	End
-6.78	End
-7.53	End
-5.13	End
-8.3	End
-6.5	End
-7.53	End
-6.89	End
-3.3	End
-6.38	End
-9.52	End
-7.55	End
-5.29	End
-4.73	End
-0.44	End
-5.06	End
-6.67	End
-0.99	End
-6.75	End
-8.67	End
-7.78	End
-2.6	End
-2.89	End
-7.62	End
-8.12	End
-3.67	End
-5.42	End
-7.54	End
-7.6	End
-7.18	End
-7	End
-5.25	End
-6.86	End
-6.45	End
-0.11	End
-7.25	End
-6.7	End
-6.21	End
-5.85	End
-7.01	End
-5.51	End
-5.43	End
-2.26	End
-6.96	End
-7.09	End
-6.9	End
-6.49	End
-7.49	End
-6.09	End
-7.12	End
-5.48	End
-5.65	End
-6.13	End
-7.56	End
-8.16	End
-6.6	End
-4.98	End
-5.48	End
-8.4	End
-6.18	End
-4.76	End
-7.56	End
-1.18	End
-6.19	End
-1.29	End
-6.98	End
-4.89	End
-5.93	End
-5.9	End
-7.14	End
-4.96	End
-6.48	End
-6.96	End
-2.53	End
-4.26	End
0.26	End
-6.54	End
-5.07	End
-7.32	End
-7.04	End
-8.17	End
-3.14	End
-7.41	End
-7.19	End
-7.17	End
-7.17	End
-5.39	End
-7.32	End
0.11	End
-4.17	End
-8.36	End
-8.73	End
-7.89	End
-8.42	End
-6.68	End
-6.77	End
-6.27	End
-6.24	End
-7.76	End
0.25	End
-7.91	End
-2.03	End
-8.02	End
-6.85	End
-1.53	End
-4.37	End
-6.17	End
-7.1	End
-0.24	End
4.87	End
-7.16	End
-7.33	End
-7.5	End
1.14	End
0.81	End
-5.48	End
-8.34	End
-6.38	End
0.04	End
-6.51	End
-2.06	End
-4.81	End
-0.54	End
-6.96	End
-6.81	End
-7.72	End
-6.5	End
-6.75	End
-6.51	End
-5.91	End
-6.74	End
-6.66	End
-8.28	End
-6.46	End
-8.26	End
-7.69	End
-3.78	End
-7.91	End
-7.34	End
-6.87	End
-8.54	End
-0.02	End
-7.35	End
-6.95	End
-0.72	End
-8.45	End
-7.84	End
-3.94	End
-4.56	End
-7.19	End
-7.68	End
-7.36	End
-7.22	End
-5.53	End
-1.02	End
-8.34	End
-6.88	End
-1.85	End
-4.89	End
2.36	End
-7.08	End
-0.28	End
-7.02	End
-7.44	End
-1.44	End
-5.3	End
-4.36	End
-0.22	End
-3.41	End
-6.36	End
-5.76	End
-7.88	End
-2.12	End
-6.58	End
-8.09	End
-3.68	End
-6.79	End
-8.1	End
-6.92	End
-8.03	End
-7.82	End
-8.33	End
-0.12	End
-3.06	End
-8.28	End
-6.88	End
-7.06	End
-6.51	End
-7.48	End
-8.76	End
-4.16	End
-7.72	End
-6.86	End
-8.87	End
3.2	End
-6.94	End
-5.65	End
-6.42	End
-5.66	End
-5.44	End
-5.49	End
-8.47	End
-6.57	End
-6.9	End
1.58	End
-7.45	End
-6.71	End
-7.91	End
-8.44	End
-7.35	End
-6.93	End
-7.72	End
-4.55	End
-7.83	End
-7.37	End
-7.96	End
-2.72	End
-8.49	End
-8	End
-7.63	End
-1.21	End
-2.53	End
-2.32	End
-7.46	End
-5.45	End
-6.18	End
-7.35	End
-6.28	End
-6.54	End
-7.59	End
-7.19	End
-3.36	End
-5.46	End
4.1	End
-8.39	End
-7.6	End
-6.92	End
1.36	End
-8.8	End
-2.74	End
-5.12	End
-4.85	End
-5.83	End
-9.1	End
-9.11	End
-7.34	End
-6.56	End
-6.8	End
-7.27	End
-6.86	End
1.13	End
0.68	End
-6.47	End
-5.43	End
-10.44	End
0.9	End
-7.6	End
-6.39	End
1.85	End
-2.37	End
-9.14	End
-6.87	End
-8.79	End
-0.99	End
-8.61	End
-6.65	End
-7.03	End
-6.05	End
-4.09	End
-6.82	End
-6.25	End
-4.8	End
-7.31	End
-6.17	End
-6.74	End
1.26	End
-4.38	End
-7.91	End
-8.3	End
-7.62	End
-6.64	End
-7.08	End
-7.64	End
-5.02	End
-7.31	End
2.98	End
-2.88	End
-7.86	End
-4.5	End
-6.98	End
-8.56	End
-8.09	End
1.85	End
-2.19	End
-2.91	End
-5.12	End
-8.14	End
-6.37	End
1.24	End
-4.65	End
-8.15	End
-4.78	End
-7.49	End
-3.25	End
-7.7	End
-8.44	End
-6.8	End
-7.92	End
-7.31	End
-6.54	End
-7.47	End
-6.84	End
-7.38	End
0.53	End
-4.96	End
-6.59	End
-4.77	End
-6.05	End
-7.79	End
-5.13	End
-7.79	End
-3.45	End
-4.35	End
-6.74	End
-1.82	End
-6.33	End
-4.27	End
-5.32	End
-7.13	End
-5.2	End
-7.32	End
-2.35	End
-7.35	End
-7.87	End
-1.91	End
-4.52	End
-6.14	End
-6.4	End
-5.87	End
-4.48	End
-6.61	End
-7.7	End
-7.16	End
-6.11	End
-5.52	End
-6.4	End
-3.04	End
-6.73	End
-7.9	End
-0.93	End
-5.45	End
-7.42	End
-1.34	End
-8.16	End
-4.22	End
-7.39	End
-4.47	End
-5.43	End
-6.83	End
-3.26	End
-7.39	End
-7.29	End
-7.56	End
-5.57	End
-8.32	End
0.52	End
0.26	End
-5.78	End
-5.6	End
1.2	End
-6.76	End
-5.4	End
-7.01	End
3.01	End
-6.08	End
-7.03	End
-6.52	End
-6.15	End
-2.98	End
-8.47	End
-7.92	End
-0.51	End
-6.05	End
-8.06	End
-6.34	End
-6.25	End
-1.08	End
-5.98	End
-6.66	End
-2.93	End
-4.05	End
-8.65	End
-2.95	End
-1.03	End
-7.45	End
-6.91	End
-7.17	End
-8.18	End
-7.11	End
-7.47	End
0.1	End
-7.67	End
-5.38	End
-7.39	End
-7.83	End
-5.69	End
-6.22	End
-7.22	End
-4.25	End
-6.86	End
1.18	End
-7.31	End
-7.09	End
-8.19	End
-8.61	End
-4.65	End
-0.9	End
-5.58	End
-1.5	End
-3.99	End
-4.11	End
-7.1	End
-7.48	End
-6.76	End
-5.98	End
-5.11	End
-7.97	End
-7.19	End
-6.94	End
-8.23	End
-8.38	End
-3.62	End
1.41	End
-7.9	End
-7.68	End
-1.4	End
-0.96	End
-3.24	End
-5.3	End
-7	End
-7.79	End
-7.84	End
-7.86	End
-3.66	End
-8.89	End
-8.41	End
-4.73	End
-8.86	End
-6.06	End
-6.61	End
-6.7	End
-5.95	End
-5.91	End
0.38	End
-3.48	End
-8.33	End
-3.27	End
-6.05	End
-7.05	End
-4.92	End
-7.06	End
-7.82	End
-9.06	End
-5.25	End
-8.08	End
-1.31	End
-0.54	End
-5.68	End
-7.94	End
-8.09	End
1.55	End
-6.14	End
0.77	End
-4.1	End
-0.99	End
-7.21	End
-6.58	End
-6.42	End
-8.15	End
1.37	End
-5.21	End
-0.62	End
-6.95	End
-2.57	End
-6.2	End
-5.15	End
-6.48	End
-6.68	End
-6.93	End
-5.44	End
-7.01	End
-6.56	End
-6.43	End
-6.22	End
-2.58	End
-7.2	End
-7.53	End
-8.14	End
-8.73	End
-5.8	End
-7.02	End
-1.52	End
-6	End
-5.34	End
-7.01	End
-6.43	End
-6.63	End
-7.78	End
-7.33	End
-7.49	End
-6.68	End
-8.45	End
-5.6	End
-3	End
-7.38	End
-6.81	End
0.7	End
-6.79	End
-7.85	End
-7.09	End
4.25	End
-7.12	End
-8.17	End
-1.24	End
-7.23	End
-2.89	End
-7.76	End
-1.75	End
-7.05	End
-1.97	End
-1.21	End
-1.42	End
-7.57	End
-5.89	End
-7.06	End
-2.78	End
-7.7	End
-8.09	End
-2.75	End
-8.2	End
-7.33	End
-6.89	End
-7.29	End
-6.81	End
-6.42	End
-6.02	End
-8.07	End
-2.9	End
-6.97	End
-5.82	End
-7.08	End
-4.18	End
-7.34	End
-6.24	End
-6.22	End
-8.08	End
-7.51	End
-7.52	End
-8.07	End
-5.27	End
-2.62	End
-7.78	End
-7.97	End
-6.69	End
2.72	End
-5.27	End
-6.24	End
-5.35	End
-5.2	End
-8.05	End
-7.36	End
-7.85	End
-5.17	End
-7.42	End
